system:index,BCSMASS,DUSMASS25,OCSMASS,SO4CMASS,SO4SMASS,SSSMASS25,city,datetime,latitude,longitude,.geo
2022080100,3.0468072509393096E-10,1.1243628250667825E-10,1.2323653209023178E-9,4.122216523683164E-6,1.3401413312408295E-9,2.5556801119819283E-9,Pasig,2022-08-01 00:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080101,2.283968569827266E-10,1.0808776096382644E-10,9.272301260132565E-10,4.078742676938418E-6,1.1800723731525409E-9,2.370143192820251E-9,Pasig,2022-08-01 01:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080102,1.936655280587729E-10,1.0845724318642169E-10,7.960370695947461E-10,4.063577307533706E-6,1.0795790927886628E-9,2.2391759557649493E-9,Pasig,2022-08-01 02:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080103,1.7570300769875757E-10,1.0837197805813048E-10,7.273683877428994E-10,4.2558408495096955E-6,1.0909415593118865E-9,2.1072992240078747E-9,Pasig,2022-08-01 03:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080104,1.680859895714093E-10,1.0859935173357371E-10,7.053132522472083E-10,4.492814241530141E-6,1.2000849203275266E-9,2.0581865101121366E-9,Pasig,2022-08-01 04:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080105,1.6854073692229576E-10,1.091962076316122E-10,7.191832684938504E-10,4.5798792598361615E-6,1.2287370010355403E-9,2.077286342938578E-9,Pasig,2022-08-01 05:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080106,1.8314949556952342E-10,1.1181100489920937E-10,8.001279638847336E-10,5.3549447329714894E-6,1.3128569342768515E-9,2.2246240405365825E-9,Pasig,2022-08-01 06:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080107,2.1373125491663814E-10,1.1525003174028825E-10,9.56333678914234E-10,5.684727511834353E-6,1.4911211154711168E-9,2.5156623451039195E-9,Pasig,2022-08-01 07:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080108,2.4226665118476376E-10,1.227817847393453E-10,1.097305357689038E-9,5.415984560386278E-6,1.8244528110500369E-9,2.85126589005813E-9,Pasig,2022-08-01 08:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080109,2.999058779096231E-10,1.2948930816492066E-10,1.3833414413966238E-9,5.794853223051177E-6,2.120040143438473E-9,3.230525180697441E-9,Pasig,2022-08-01 09:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080110,3.796003511524759E-10,1.3574208423960954E-10,1.7457750800531358E-9,5.6250873967655934E-6,2.5247672841288704E-9,3.573404683265835E-9,Pasig,2022-08-01 10:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080111,4.3655748460658117E-10,1.3102408047416247E-10,1.9590515876188874E-9,4.922250809613615E-6,2.1200441402413617E-9,3.7052814150229096E-9,Pasig,2022-08-01 11:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080112,4.843059286940843E-10,1.261923898709938E-10,2.1254891180433333E-9,4.957177225151099E-6,2.190978509730712E-9,3.816239768639207E-9,Pasig,2022-08-01 12:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080113,5.318270268617198E-10,1.227817847393453E-10,2.296474121976644E-9,4.96359507451416E-6,2.195542636584946E-9,3.8980942917987704E-9,Pasig,2022-08-01 13:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080114,5.725269147660583E-10,1.2073542166035622E-10,2.4301698431372643E-9,4.528881618170999E-6,1.7912782368512126E-9,3.918103175237775E-9,Pasig,2022-08-01 14:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080115,5.923084245296195E-10,1.1942802302655764E-10,2.4783730623312294E-9,4.388874458527425E-6,1.8039841842565352E-9,3.8344296626746655E-9,Pasig,2022-08-01 15:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080116,6.007212505210191E-10,1.169837560155429E-10,2.4774635676294565E-9,4.161598099017283E-6,1.6534659197375845E-9,3.5806806408800185E-9,Pasig,2022-08-01 16:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080117,6.032223609508947E-10,1.1394263310648967E-10,2.4556356947869062E-9,3.888661922246683E-6,1.1441534386591456E-9,3.2969187380160747E-9,Pasig,2022-08-01 17:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080118,6.032223609508947E-10,1.1144152267661411E-10,2.431079337839037E-9,4.0600771171739325E-6,1.2887655387316954E-9,3.056811692658812E-9,Pasig,2022-08-01 18:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080119,6.102709448896348E-10,1.1058887139370199E-10,2.4474509086047647E-9,4.110410827706801E-6,1.4329291087022966E-9,2.914021024480462E-9,Pasig,2022-08-01 19:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080120,6.284608944362446E-10,1.1056044968427159E-10,2.515663899416154E-9,3.981571353506297E-6,1.145991967987925E-9,2.8230715543031693E-9,Pasig,2022-08-01 20:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080121,6.493792170658708E-10,1.1041834113711957E-10,2.599335857667029E-9,4.1150383367494214E-6,1.4219967425788127E-9,2.7275746106170118E-9,Pasig,2022-08-01 21:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080122,6.373286898231356E-10,1.113562575483229E-10,2.556590050772911E-9,4.223512860335177E-6,1.7225944004550797E-9,2.70210875896737E-9,Pasig,2022-08-01 22:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080123,3.5584082902495595E-10,1.1110046216344927E-10,1.447917563623946E-9,4.214743057673331E-6,1.5366216077339345E-9,2.220076567027718E-9,Pasig,2022-08-01 23:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080200,2.1469759303727187E-10,1.0510348147363402E-10,8.99490260053426E-10,4.433535195857985E-6,1.2237314495067153E-9,1.557509787808442E-9,Pasig,2022-08-02 00:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080201,1.9400658857193775E-10,1.0027179087046534E-10,8.285496733151376E-10,4.847022410103818E-6,1.313327779861595E-9,1.3724285041760709E-9,Pasig,2022-08-02 01:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080202,1.9053914002142847E-10,9.808331924432423E-11,8.237749371531322E-10,5.077722562418785E-6,1.525251258627236E-9,1.389258930117876E-9,Pasig,2022-08-02 02:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080203,1.8633272702572867E-10,9.057998795469757E-11,8.192273526219651E-10,5.018126557843061E-6,1.717583852922644E-9,1.3224052963778377E-9,Pasig,2022-08-02 03:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080204,1.8496848497306928E-10,8.799361239653081E-11,8.203642209991813E-10,5.331955890142126E-6,1.9099470893735315E-9,1.2896634871140122E-9,Pasig,2022-08-02 04:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022080205,1.8781065591610968E-10,8.736833478906192E-11,8.385541705457911E-10,5.606012109637959E-6,2.070933202702463E-9,1.2846612662542611E-9,Pasig,2022-08-02 05:00:00,14.5764,121.0851,"{""type"":""MultiPoint"",""coordinates"":[]}"
