datetime,city,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,surface_pressure,boundary_layer_height
2022-07-31 16:00:00+00:00,Manila,25.9,94.792465,0.2,3.8939953,213.6901,1007.9634,360.0
2022-07-31 17:00:00+00:00,Manila,26.15,92.56854,0.2,2.5959969,236.3099,1007.3646,355.0
2022-07-31 18:00:00+00:00,Manila,26.0,92.83746,0.2,3.319036,229.39879,1006.76483,365.0
2022-07-31 19:00:00+00:00,Manila,26.75,85.941574,0.1,1.9386592,201.80147,1006.2679,365.0
2022-07-31 20:00:00+00:00,Manila,26.65,86.190125,0.3,1.1384199,161.56496,1006.36755,335.0
2022-07-31 21:00:00+00:00,Manila,25.25,92.242744,0.0,3.9763298,185.19434,1006.7623,315.0
2022-07-31 22:00:00+00:00,Manila,26.55,85.40739,0.0,2.0991426,149.03632,1007.06647,275.0
2022-07-31 23:00:00+00:00,Manila,26.85,86.727036,0.0,2.7416782,113.19862,1007.0674,125.0
2022-08-01 00:00:00+00:00,Manila,27.2,86.242455,0.0,1.2979984,326.3099,1007.4682,375.0
2022-08-01 01:00:00+00:00,Manila,27.85,83.02386,0.0,0.8049845,63.435013,1007.8701,490.0
2022-08-01 02:00:00+00:00,Manila,28.75,77.851654,0.0,1.484318,194.03627,1007.97314,555.0
2022-08-01 03:00:00+00:00,Manila,29.4,73.86415,0.0,5.904439,232.43134,1007.7756,635.0
2022-08-01 04:00:00+00:00,Manila,29.55,73.66805,0.0,7.968939,251.56496,1007.3763,710.0
2022-08-01 05:00:00+00:00,Manila,30.1,74.42226,0.0,10.308831,257.90524,1006.8787,735.0
2022-08-01 06:00:00+00:00,Manila,28.8,78.0921,1.5,9.686609,228.01286,1006.37476,795.0
2022-08-01 07:00:00+00:00,Manila,28.35,77.09604,0.6,19.969458,236.0234,1006.4731,615.0
2022-08-01 08:00:00+00:00,Manila,26.9,86.73165,0.6,15.277749,235.56094,1006.76807,495.0
2022-08-01 09:00:00+00:00,Manila,26.95,84.42859,0.1,12.7279215,241.2603,1006.9679,500.0
2022-08-01 10:00:00+00:00,Manila,25.4,90.87533,2.1,9.931042,226.46873,1007.8616,520.0
2022-08-01 11:00:00+00:00,Manila,25.25,91.139565,3.4,5.3517847,227.72638,1008.76025,430.0
2022-08-01 12:00:00+00:00,Manila,25.35,91.420395,1.3,6.618519,224.9999,1009.1603,355.0
2022-08-01 13:00:00+00:00,Manila,25.6,90.072586,0.8,4.5820518,224.9999,1009.36066,195.0
2022-08-01 14:00:00+00:00,Manila,25.8,87.94548,0.1,3.396233,237.99466,1009.6613,245.0
2022-08-01 15:00:00+00:00,Manila,25.8,88.210686,0.0,4.072935,224.9999,1010.06085,280.0
2022-08-01 16:00:00+00:00,Manila,25.4,91.42347,0.0,3.219938,206.56499,1009.6597,295.0
2022-08-01 17:00:00+00:00,Manila,25.0,93.62668,0.0,3.319036,192.5288,1009.059,300.0
2022-08-01 18:00:00+00:00,Manila,25.15,92.51503,0.0,2.9024127,119.74479,1008.6598,295.0
2022-08-01 19:00:00+00:00,Manila,24.7,95.605225,0.0,3.396233,122.00535,1007.9589,270.0
2022-08-01 20:00:00+00:00,Manila,24.7,95.31833,0.0,3.396233,147.99466,1007.9589,250.0
